date,main_1,main_2,main_3,main_4,main_5,main_6,noroc
2005-06-05,3,11,17,22,42,44,
2005-06-19,14,26,31,36,38,49,
2005-07-03,3,15,23,40,41,44,
2005-07-17,1,2,12,19,26,35,
2005-07-31,1,8,17,28,29,40,
2005-08-14,1,5,16,32,34,37,
2005-08-28,1,12,14,16,23,31,
2005-09-11,1,2,20,28,41,42,
2005-09-25,1,3,11,27,45,48,
2005-10-09,2,22,36,37,41,44,
2005-10-23,6,16,24,28,29,33,
2005-11-06,2,5,24,41,44,49,
2005-11-20,2,9,13,24,42,44,
2005-12-04,13,14,25,29,41,46,
2005-12-18,1,15,17,36,37,47,
2006-01-08,1,14,33,34,42,49,
2006-01-22,3,9,34,37,41,43,
2006-02-05,15,23,25,36,37,48,
2006-02-19,1,31,33,36,43,46,
2006-03-05,5,12,15,31,34,43,
2006-03-19,3,6,30,35,42,46,
2006-04-02,3,7,16,21,29,34,
2006-04-16,10,19,27,28,34,39,
2006-04-30,11,28,37,45,46,48,
2006-05-14,3,4,12,25,43,45,
2006-05-28,2,6,23,29,30,45,
2006-06-11,10,13,20,31,35,41,
2006-06-25,10,28,35,39,44,45,
2006-07-09,13,18,26,32,34,41,
2006-07-23,5,21,26,28,33,48,
2006-08-06,13,18,23,26,32,33,
2006-08-20,2,9,13,21,36,44,
2006-09-03,6,19,20,22,23,48,
2006-09-17,3,4,21,23,32,37,
2006-10-01,13,16,19,33,39,49,
2006-10-15,5,8,35,37,41,46,
2006-10-29,4,9,20,27,29,34,
2006-11-12,15,18,20,22,38,41,
2006-11-26,1,17,19,28,29,40,
2006-12-10,11,26,30,33,39,48,
2006-12-31,8,10,15,29,36,46,
2007-01-07,10,25,31,37,41,46,
2007-01-21,10,20,27,30,47,48,
2007-02-04,6,8,20,28,33,42,
2007-02-18,5,15,32,35,38,48,
2007-03-04,15,17,22,29,41,45,
2007-03-18,5,18,21,30,42,45,
2007-04-01,10,19,21,43,44,49,
2007-04-15,6,12,15,27,28,35,
2007-04-29,15,28,31,36,39,48,
2007-05-13,1,4,16,19,26,44,
2007-05-27,13,17,21,25,40,42,
2007-06-10,3,18,20,22,34,48,
2007-06-24,11,18,24,28,31,39,
2007-07-08,4,8,12,17,41,46,
2007-07-22,9,23,24,30,46,47,
2007-08-05,4,28,35,37,38,44,
2007-08-19,3,19,30,34,45,46,
2007-09-02,9,11,31,43,44,45,
2007-09-16,5,9,25,34,41,43,
2007-09-30,20,23,25,39,41,42,
2007-10-14,17,24,30,32,33,43,
2007-10-28,10,12,15,23,44,47,
2007-11-11,2,5,18,26,47,48,
2007-11-25,8,15,21,31,33,40,
2007-12-09,14,15,20,38,45,46,
2007-12-30,4,12,14,15,40,42,
2008-01-06,7,11,12,24,26,48,
2008-01-20,4,26,29,40,45,46,
2008-02-03,7,13,28,29,34,45,
2008-02-17,11,27,31,35,42,48,
2008-03-02,9,12,18,35,39,46,
2008-03-16,11,13,16,27,35,45,
