date,main_1,main_2,main_3,main_4,main_5,joker,noroc_plus
2018-10-21,5,9,21,35,43,7,
2018-10-28,13,17,24,42,44,6,
2018-11-04,10,27,35,40,44,12,
2018-11-11,18,25,32,37,39,13,
2018-11-18,16,18,28,40,43,20,
2018-11-22,6,15,32,41,45,16,
2018-11-29,2,37,39,43,44,5,
2018-12-06,7,18,36,37,39,3,
2018-12-13,6,24,25,32,42,6,
2018-12-20,18,20,21,37,45,15,
2018-12-31,4,13,20,32,39,3,
2019-01-06,8,20,22,38,42,17,
2019-01-13,6,27,29,40,44,19,
2019-01-20,6,10,11,12,33,3,
2019-01-27,3,7,17,28,38,15,
2019-02-03,7,14,21,22,43,19,
2019-02-10,3,17,24,30,44,6,
2019-02-17,3,4,11,13,43,16,
2019-02-24,6,13,20,27,30,11,
2019-03-03,12,18,33,34,42,4,
2019-03-10,6,16,22,27,43,4,
2019-03-17,4,9,10,12,14,7,
2019-03-24,4,13,22,35,39,4,
2019-03-31,16,17,18,21,40,2,
2019-04-07,1,21,29,34,39,2,
2019-04-14,13,25,34,39,40,10,
2019-04-21,13,16,33,39,44,8,
2019-05-02,1,3,16,37,40,14,
2019-05-09,1,8,17,26,33,17,
2019-05-16,13,23,38,41,42,14,
2019-05-23,4,18,21,31,45,1,
2019-05-30,6,10,31,32,41,12,
2019-06-06,3,16,18,30,43,7,
2019-06-13,5,16,35,37,38,13,
2019-06-20,28,37,40,42,44,3,
2019-06-27,2,16,23,32,37,7,
2019-07-04,10,13,18,33,45,3,
2019-07-11,16,28,34,39,43,10,
2019-07-18,1,5,12,31,44,9,
2019-07-25,6,16,24,41,45,12,
2019-08-01,19,25,35,43,44,3,
2019-08-08,11,15,36,42,43,1,
2019-08-15,27,30,32,38,40,3,
2019-08-22,8,17,24,31,34,3,
2019-08-29,10,18,27,32,42,14,
2019-09-05,8,14,35,37,39,20,
2019-09-12,1,17,35,43,44,20,
2019-09-19,6,10,21,35,43,7,
2019-09-26,5,7,10,15,31,16,
2019-10-03,8,20,24,37,40,12,
2019-10-10,7,30,31,33,45,9,
2019-10-17,1,13,19,25,40,10,
2019-10-24,5,14,21,23,31,13,
2019-10-31,5,25,34,35,45,9,
2019-11-07,6,19,32,34,41,13,
2019-11-14,4,5,11,18,35,13,
2019-11-21,3,4,17,26,27,1,
2019-11-28,8,14,29,36,38,7,
2019-12-05,5,32,37,39,42,5,
2019-12-12,9,27,41,42,43,5,
2019-12-19,6,9,22,24,25,9,
2019-12-31,7,16,17,27,31,17,
2020-01-05,8,10,25,35,40,10,
2020-01-12,5,16,19,37,43,12,
2020-01-19,20,41,42,43,45,15,
2020-01-26,10,20,28,31,45,6,
2020-02-02,3,21,34,40,44,9,
2020-02-09,3,5,10,24,38,20,
2020-02-16,19,31,33,42,43,18,
2020-02-23,13,19,23,24,27,15,
2020-03-01,8,9,20,31,42,20,
2020-03-08,3,10,12,32,33,15,
2020-03-15,3,7,20,24,29,4,
2020-06-21,3,9,21,27,36,8,
2020-06-28,10,11,29,36,38,3,
2020-07-05,1,6,16,36,44,19,
2020-07-12,9,14,24,25,30,16,
2020-07-19,3,13,17,28,29,7,
2020-07-26,1,3,9,29,45,19,
2020-08-02,4,20,32,39,42,19,
2020-08-09,5,16,25,35,42,16,
2020-08-16,11,18,23,28,35,18,
2020-08-23,3,7,18,30,41,14,
2020-08-30,9,11,13,25,31,1,
2020-09-06,8,10,23,32,34,4,
2020-09-13,18,22,32,41,42,6,
2020-09-20,6,9,25,28,39,2,
2020-09-27,4,6,18,21,22,2,
2020-10-04,1,23,30,31,41,4,
2020-10-11,7,22,23,37,45,18,
2020-10-18,15,16,31,32,38,7,
2020-10-25,9,13,14,16,44,8,
2020-11-01,4,10,11,24,43,20,
2020-11-08,1,15,19,20,21,20,
2020-11-15,1,2,9,30,33,17,
2020-11-22,2,6,25,28,38,1,
2020-11-29,6,14,20,25,32,19,
2020-12-06,17,21,26,39,44,19,
2020-12-13,8,15,27,34,38,11,
2020-12-20,2,28,30,35,42,6,
2020-12-31,13,18,21,23,36,17,
2021-01-07,6,14,19,21,29,18,
2021-01-14,10,11,12,27,36,19,
2021-01-21,8,13,25,31,41,13,
2021-01-28,4,7,12,21,24,19,
2021-02-04,3,10,16,18,26,19,
2021-02-11,11,16,25,36,38,12,
2021-02-18,3,5,6,8,12,4,
2021-02-25,2,8,30,40,44,19,
2021-03-04,6,13,15,16,35,19,
2021-03-11,1,4,16,18,45,5,
2021-03-18,6,13,20,23,33,8,
2021-03-25,12,16,23,27,29,9,
2021-04-01,2,3,10,23,25,1,
2021-04-08,4,33,36,39,40,7,
2021-04-15,20,27,28,32,33,4,
2021-04-22,1,9,12,41,44,2,
2021-05-01,3,5,9,20,41,13,
2021-05-09,5,14,23,29,38,9,
2021-05-16,7,8,13,25,36,1,
2021-05-23,12,31,33,34,42,12,
2021-05-30,21,31,37,40,42,16,
2021-06-06,8,32,38,40,45,10,
2021-06-13,6,18,19,31,34,18,
2021-06-20,21,25,30,36,42,1,
2021-06-27,13,14,28,36,40,4,
2021-07-04,6,11,18,25,31,3,
2021-07-08,3,15,24,29,43,6,
2021-07-15,3,4,7,24,38,12,
2021-07-22,20,24,25,30,42,14,
2021-07-29,1,3,21,34,43,10,
2021-08-05,1,24,26,27,28,7,
2021-08-12,6,11,21,28,40,18,
2021-08-19,13,16,17,23,25,8,
2021-08-26,5,6,21,29,37,18,
2021-09-02,1,28,29,36,43,3,
2021-09-09,11,12,36,44,45,6,
2021-09-16,7,25,29,31,34,2,
2021-09-23,8,13,15,23,28,4,
2021-09-30,5,6,9,31,35,2,
2021-10-07,8,25,26,32,35,2,
2021-10-14,8,25,35,40,45,19,
2021-10-21,2,18,19,27,39,20,
2021-10-28,17,20,21,27,35,17,
2021-11-04,5,6,25,39,40,4,
2021-11-11,11,19,23,25,36,2,
2021-11-18,17,28,32,35,36,12,
2021-11-25,8,10,15,17,19,7,
2021-12-05,5,8,17,30,36,13,
2021-12-12,4,6,14,31,45,16,
2021-12-19,3,8,21,27,44,7,
2021-12-31,17,18,28,37,42,2,
2022-01-06,16,20,28,39,41,1,
2022-01-13,1,3,18,19,36,19,
2022-01-20,2,15,29,30,35,10,
2022-01-27,10,15,20,21,43,11,
2022-02-03,1,12,19,28,38,3,
2022-02-10,24,28,29,32,37,8,
2022-02-17,1,25,28,34,38,6,
2022-02-27,7,15,27,31,32,6,
2022-03-06,2,3,4,7,45,7,
2022-03-13,2,5,28,32,37,11,
2022-03-20,1,8,17,19,21,1,
2022-03-27,6,15,17,38,41,5,
2022-04-03,21,22,23,36,45,20,
2022-04-10,5,7,21,35,43,4,
